last.name,first.name,state,district,party,gender,nameid,icpsr.id,missingVotes,idealPoint,lo,up,label
Schwartz,Allyson,Pennsylvania,13,D,F,S001162,20525,139,-0.98569706,-1.126221716,-0.838506274,Schwartz (D PA-13)
Schweikert,David,Arizona,6,R,M,S001183,NA,36,1.175556571,0.976589084,1.387067233,Schweikert (R AZ-6)
Scott,David,Georgia,13,D,M,S001157,20321,31,-0.892484137,-1.016620207,-0.773954985,Scott (D GA-13)
Scott,Robert,Virginia,3,D,M,S000185,39307,16,-1.087156001,-1.25807317,-0.933943244,Scott (D VA-3)
Scott,Austin,Georgia,8,R,M,S001189,NA,18,1.061098125,0.890591913,1.249171491,Scott (R GA-8)
Sensenbrenner,F.,Wisconsin,5,R,M,S000244,14657,20,0.870427149,0.729893862,1.023201017,Sensenbrenner (R WI-5)
Serrano,Jose,New York,15,D,M,S000248,15643,9,-1.676668655,-1.98865024,-1.429835264,Serrano (D NY-15)
Sessions,Pete,Texas,32,R,M,S000250,29759,13,0.958332286,0.785714852,1.118212373,Sessions (R TX-32)
Sewell,Terri,Alabama,7,D,F,S001185,NA,21,-0.73996463,-0.839141035,-0.633642378,Sewell (D AL-7)
Shea-Porter,Carol,New Hampshire,1,D,F,S001170,20731,38,-0.961986895,-1.090173421,-0.823373959,Shea-Porter (D NH-1)
Sherman,Brad,California,30,D,M,S000344,29707,12,-0.851897187,-0.970590821,-0.738785279,Sherman (D CA-30)
Shimkus,John,Illinois,15,R,M,S000364,29718,70,0.568723852,0.451203101,0.676994926,Shimkus (R IL-15)
Shuster,Bill,Pennsylvania,9,R,M,S001154,14052,19,0.852890581,0.71134129,1.002003886,Shuster (R PA-9)
Simpson,Mike,Idaho,2,R,M,S001148,29910,25,0.666421547,0.551027585,0.781664572,Simpson (R ID-2)
Sinema,Krysten,Arizona,9,D,F,S001191,NA,33,-0.386102596,-0.458336383,-0.309438019,Sinema (D AZ-9)
Sires,Albio,New Jersey,8,D,M,S001165,20542,77,-1.111682795,-1.286849536,-0.937273918,Sires (D NJ-8)
Slaughter,Louise,New York,25,D,F,S000480,15443,50,-1.092978778,-1.248027357,-0.942328953,Slaughter (D NY-25)
Smith,Adam,Washington,9,D,M,S000510,29768,77,-0.946652401,-1.079988251,-0.811365188,Smith (D WA-9)
Smith,Jason,Missouri,8,R,M,S001195,,201,1.252098121,0.990537183,1.519299492,Smith (R MO-8)
Smith,Adrian,Nebraska,3,R,M,S001172,20729,17,0.953094628,0.781978381,1.112462963,Smith (R NE-3)
Smith,Christopher,New Jersey,4,R,M,S000522,14863,26,0.424604146,0.339847861,0.516614981,Smith (R NJ-4)
Smith,Lamar,Texas,21,R,M,S000583,15444,10,1.030126336,0.8564088,1.214401989,Smith (R TX-21)
Southerland,Steve,Florida,2,R,M,S001186,NA,9,0.943804458,0.787810574,1.104555118,Southerland (R FL-2)
Speier,Jackie,California,14,D,F,S001175,NA,69,-1.288680381,-1.505811925,-1.096976317,Speier (D CA-14)
Stewart,Chris,Utah,2,R,M,S001192,NA,14,0.875820535,0.723649463,1.010438841,Stewart (R UT-2)
Stivers,Steve,Ohio,15,R,M,S001187,NA,16,0.652156383,0.538168318,0.769930596,Stivers (R OH-15)
Stockman,Steve,Texas,36,R,NA,S000937,29570,47,1.002450679,0.831412215,1.160229589,Stockman (R TX-36)
Stutzman,Marlin,Indiana,3,R,M,S001188,NA,24,1.141992448,0.960249431,1.331467946,Stutzman (R IN-3)
Swalwell,Eric,California,15,D,M,S001193,NA,9,-0.936528391,-1.063588379,-0.80396262,Swalwell (D CA-15)
Takano,Mark,California,41,D,M,T000472,NA,6,-1.244898329,-1.432300245,-1.062092769,Takano (D CA-41)
Terry,Lee,Nebraska,2,R,M,T000459,29921,8,0.652423679,0.527480388,0.766340887,Terry (R NE-2)
Thompson,Mike,California,5,D,M,T000460,29901,18,-1.095115402,-1.256036302,-0.936401569,Thompson (D CA-5)
Thompson,Bennie,Mississippi,2,D,M,T000193,29368,24,-0.917379355,-1.048225455,-0.791497023,Thompson (D MS-2)
Thompson,Glenn,Pennsylvania,5,R,M,T000467,NA,6,0.658249319,0.538342223,0.777365954,Thompson (R PA-5)
Thornberry,William,Texas,13,R,M,T000238,29572,8,1.085514873,0.900735338,1.26013973,Thornberry (R TX-13)
Tiberi,Pat,Ohio,12,R,M,T000462,20130,26,0.785823955,0.651779356,0.922870089,Tiberi (R OH-12)
Tierney,John,Massachusetts,6,D,M,T000266,29730,28,-1.067346678,-1.215678938,-0.919676111,Tierney (D MA-6)
Tipton,Scott,Colorado,3,R,M,T000470,NA,28,0.692214302,0.57146102,0.813600496,Tipton (R CO-3)
Titus,Dina,Nevada,1,D,F,T000468,NA,7,-0.936409361,-1.073422571,-0.812237498,Titus (D NV-1)
Tonko,Paul,New York,20,D,M,T000469,NA,7,-1.349510415,-1.558860822,-1.132935743,Tonko (D NY-20)
Tsongas,Niki,Massachusetts,3,D,F,T000465,20754,44,-1.292971777,-1.480068087,-1.069268673,Tsongas (D MA-3)
Turner,Michael,Ohio,10,R,M,T000463,20342,9,0.569767423,0.465442401,0.677396489,Turner (R OH-10)
Upton,Fred,Michigan,6,R,M,U000031,15445,23,0.815775495,0.681776918,0.955803872,Upton (R MI-6)
Valadao,David,California,21,R,M,V000129,NA,7,0.549134772,0.437650513,0.649708851,Valadao (R CA-21)
Van Hollen,Chris,Maryland,8,D,M,V000128,20330,15,-1.162034954,-1.34874865,-1.002571457,Van Hollen (D MD-8)
Vargas,Juan,California,51,D,M,V000130,NA,25,-0.931582846,-1.057438562,-0.796777644,Vargas (D CA-51)
Veasey,Marc,Texas,33,D,M,V000131,NA,13,-0.934398193,-1.061517335,-0.806581042,Veasey (D TX-33)
Vela,Filemon,Texas,34,D,M,V000132,NA,15,-0.493037871,-0.569773289,-0.407436261,Vela (D TX-34)
