"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"IN","6","R","M","M001189", ,22,1.05968177846945,0.912468459066508,1.19598676473989,"Messer (R IN-6)",383,"Luke","Messer"
"SC","5","R","M","M001182", ,49,1.06155627282805,0.925188690752962,1.20424971509432,"Mulvaney (R SC-5)",384,"Mick","Mulvaney"
"MD","1","R","M","H001052", ,12,1.06156002733233,0.929573769112258,1.21190585736539,"Harris (R MD-1)",385,"Andy","Harris"
"PA","4","R","M","P000605", ,10,1.06786217538357,0.92480526059502,1.20954839948805,"Perry (R PA-4)",386,"Scott","Perry"
"OH","5","R","M","L000566","20755",6,1.07632047657568,0.940039544075762,1.22925262906842,"Latta (R OH-5)",387,"Robert","Latta"
"MI","7","R","M","W000798","20725",22,1.08124811569583,0.941754146589741,1.22647624076907,"Walberg (R MI-7)",388,"Tim","Walberg"
"TX","32","R","M","S000250","29759",14,1.08413970228672,0.940011943476023,1.22409483878739,"Sessions (R TX-32)",389,"Pete","Sessions"
"GA","8","R","M","S001189", ,20,1.08813734952041,0.938756558224837,1.22250955479535,"Scott (R GA-8)",390,"Austin","Scott"
"TX","8","R","M","B000755","29760",53,1.09096312779084,0.949534009890569,1.24706992444799,"Brady (R TX-8)",391,"Kevin","Brady"
"TN","4","R","M","D000616", ,120,1.09453933562904,0.944447723044237,1.24661388022673,"DesJarlais (R TN-4)",392,"Scott","DesJarlais"
"OK","5","R","M","L000575", ,115,1.09528198160619,0.947690244593391,1.23568881817817,"Lankford (R OK-5)",393,"James","Lankford"
"NC","11","R","M","M001187", ,15,1.0967215000971,0.955063819936768,1.2392171577067,"Meadows (R NC-11)",394,"Mark","Meadows"
"MO","7","R","M","L000576", ,3,1.10379310717211,0.959190285108767,1.24839213875951,"Long (R MO-7)",395,"Billy","Long"
"NC","10","R","M","M001156","20522",34,1.10423874019407,0.960555267097803,1.23890294762811,"McHenry (R NC-10)",396,"Patrick","McHenry"
"UT","1","R","M","B001250","20357",65,1.10482533529057,0.945088829916573,1.2442787320514,"Bishop (R UT-1)",397,"Rob","Bishop"
"AZ","6","R","M","S001183", ,37,1.10618386524084,0.958129203197441,1.25042954476511,"Schweikert (R AZ-6)",398,"David","Schweikert"
"GA","3","R","M","W000796","20506",73,1.10828122501385,0.962822084155363,1.24751498824155,"Westmoreland (R GA-3)",399,"Lynn","Westmoreland"
"FL","19","R","M","C001102","",995,1.11195280122103,0.842112801494289,1.36753693923667,"Clawson (R FL-19)",400,"Curt","Clawson"
"TX","13","R","M","T000238","29572",8,1.11196198815661,0.967326262250207,1.2609399539689,"Thornberry (R TX-13)",401,"William","Thornberry"
"OK","1","R","M","B001283", ,12,1.11236152866356,0.972062558052709,1.25579171620866,"Bridenstine (R OK-1)",402,"Jim","Bridenstine"
"IN","4","R","M","R000592", ,53,1.11250599646391,0.960907242457568,1.25509837140135,"Rokita (R IN-4)",403,"Todd","Rokita"
"TX","3","R","M","J000174","29143",70,1.12278449796077,0.968877263905409,1.26380160885224,"Johnson (R TX-3)",404,"Sam","Johnson"
"TN","6","R","F","B001273", ,18,1.12687842446145,0.97651538240868,1.26504570314039,"Black (R TN-6)",405,"Diane","Black"
"WI","8","R","M","R000587", ,18,1.13173950815804,0.990877955684008,1.26880863020955,"Ribble (R WI-8)",406,"Reid","Ribble"
"AR","4","R","M","C001095", ,14,1.13721292708395,0.998110027890445,1.29678782990147,"Cotton (R AR-4)",407,"Tom","Cotton"
"NC","9","R","M","P000606", ,49,1.14000312042512,0.98270160729502,1.28569927912512,"Pittenger (R NC-9)",408,"Robert","Pittenger"
"CO","5","R","M","L000564","20704",17,1.1425198073798,1.0003018379276,1.28411658025101,"Lamborn (R CO-5)",409,"Doug","Lamborn"
"NC","5","R","F","F000450","20521",6,1.14435431184391,0.990091617581145,1.28774813121389,"Foxx (R NC-5)",410,"Virginia","Foxx"
"MS","4","R","M","P000601", ,68,1.14555104693084,0.987342689393429,1.29627959207925,"Palazzo (R MS-4)",411,"Steven","Palazzo"
"CA","1","R","M","L000578", ,27,1.14901165037822,1.00685185066131,1.31095009680315,"LaMalfa (R CA-1)",412,"Doug","LaMalfa"
"AL","1","R","M","B001289","",673,1.15946605868854,0.949125161457099,1.33955793382139,"Byrne (R AL-1)",413,"Bradley","Byrne"
"SC","2","R","M","W000795","20138",36,1.1610152676959,1.00708253201565,1.32149002906287,"Wilson (R SC-2)",414,"Joe","Wilson"
"TX","22","R","M","O000168", ,29,1.16898947465769,1.01641460603195,1.32520246512377,"Olson (R TX-22)",415,"Pete","Olson"
"TX","11","R","M","C001062","20531",15,1.17470622590071,1.02500017558371,1.33156064386767,"Conaway (R TX-11)",416,"K.","Conaway"
"TX","17","R","M","F000461", ,28,1.18956115685194,1.04283931828205,1.35193998902419,"Flores (R TX-17)",417,"Bill","Flores"
"GA","6","R","M","P000591","20505",13,1.1934167844252,1.03833804995389,1.35055055049855,"Price (R GA-6)",418,"Tom","Price"
"FL","6","R","M","D000621", ,6,1.19600350707257,1.04133193177775,1.36161266654456,"DeSantis (R FL-6)",419,"Ron","DeSantis"
"GA","9","R","M","C001093", ,51,1.20452025311739,1.04644735076976,1.36726816820909,"Collins (R GA-9)",420,"Doug","Collins"
"LA","1","R","M","S001176", ,22,1.21758560148634,1.05903872555827,1.38450074684,"Scalise (R LA-1)",421,"Steve","Scalise"
"MO","8","R","M","S001195","21373",206,1.23205690004907,1.04870267768344,1.40400254322279,"Smith (R MO-8)",422,"Jason","Smith"
